adm4_pcode,date,brgy_healthcenter_pop_reached_5min,brgy_healthcenter_pop_reached_15min,brgy_healthcenter_pop_reached_30min,brgy_healthcenter_pop_reached_pct_5min,brgy_healthcenter_pop_reached_pct_15min,brgy_healthcenter_pop_reached_pct_30min,hospital_pop_reached_5min,hospital_pop_reached_15min,hospital_pop_reached_30min,hospital_pop_reached_pct_5min,hospital_pop_reached_pct_15min,hospital_pop_reached_pct_30min,rhu_pop_reached_5min,rhu_pop_reached_15min,rhu_pop_reached_30min,rhu_pop_reached_pct_5min,rhu_pop_reached_pct_15min,rhu_pop_reached_pct_30min
"Administrative code (Barangay level, ADM4) for Navotas",Reference date of data collection,Population that can reach a barangay health center within 5 minutes,Population that can reach a barangay health center within 15 minutes,Population that can reach a barangay health center within 30 minutes,Percentage of population reachable within 5 minutes (barangay health center),Percentage of population reachable within 15 minutes (barangay health center),Percentage of population reachable within 30 minutes (barangay health center),Population that can reach a hospital within 5 minutes,Population that can reach a hospital within 15 minutes,Population that can reach a hospital within 30 minutes,Percentage of population reachable within 5 minutes (hospital),Percentage of population reachable within 15 minutes (hospital),Percentage of population reachable within 30 minutes (hospital),Population that can reach a Rural Health Unit (RHU) within 5 minutes,Population that can reach a Rural Health Unit (RHU) within 15 minutes,Population that can reach a Rural Health Unit (RHU) within 30 minutes,Percentage of population reachable within 5 minutes (RHU),Percentage of population reachable within 15 minutes (RHU),Percentage of population reachable within 30 minutes (RHU)
PH137401001,1/1/2022,64697.58,67004.37,67004.37,95.21,98.61,98.61,58157.28,67004.37,67004.37,85.59,98.61,98.61,67004.37,67004.37,67004.37,98.61,98.61,98.61
PH137401002,1/1/2022,6652.91,7084.42,7084.42,93.91,100,100,2774.84,7084.42,7084.42,39.17,100,100,7084.42,7084.42,7084.42,100,100,100
PH137401003,1/1/2022,8567.69,12387.89,12387.89,52.93,76.53,76.53,12387.89,12387.89,12387.89,76.53,76.53,76.53,12387.89,12387.89,12387.89,76.53,76.53,76.53
PH137401004,1/1/2022,12005.42,12005.42,12005.42,100,100,100,12005.42,12005.42,12005.42,100,100,100,12005.42,12005.42,12005.42,100,100,100
PH137401005,1/1/2022,9014.78,9014.78,9014.78,100,100,100,9014.78,9014.78,9014.78,100,100,100,9014.78,9014.78,9014.78,100,100,100
PH137401006,1/1/2022,3433.49,3433.49,3433.49,100,100,100,3433.49,3433.49,3433.49,100,100,100,3433.49,3433.49,3433.49,100,100,100
PH137401007,1/1/2022,0,1157.51,1157.51,0,100,100,1157.51,1157.51,1157.51,100,100,100,1157.51,1157.51,1157.51,100,100,100
PH137401008,1/1/2022,1916.38,1916.38,1916.38,100,100,100,1916.38,1916.38,1916.38,100,100,100,1916.38,1916.38,1916.38,100,100,100
PH137401009,1/1/2022,0,6162.04,6162.04,0,100,100,0,6162.04,6162.04,0,100,100,6162.04,6162.04,6162.04,100,100,100
PH137401010,1/1/2022,5261.84,11621.7,11621.7,45.28,100,100,11621.7,11621.7,11621.7,100,100,100,11621.7,11621.7,11621.7,100,100,100
PH137401011,1/1/2022,11407.73,11407.73,11407.73,100,100,100,11407.73,11407.73,11407.73,100,100,100,11407.73,11407.73,11407.73,100,100,100
PH137401012,1/1/2022,0,1531.12,1531.12,0,49.57,49.57,0,1531.12,1531.12,0,49.57,49.57,1531.12,1531.12,1531.12,49.57,49.57,49.57
PH137401013,1/1/2022,25702.76,28714.84,28714.84,89.51,100,100,26514.38,28714.84,28714.84,92.34,100,100,28714.84,28714.84,28714.84,100,100,100
PH137401014,1/1/2022,14294.31,25377.77,25377.77,56.33,100,100,25377.77,25377.77,25377.77,100,100,100,25377.77,25377.77,25377.77,100,100,100
PH137401015,1/1/2022,0,10575.36,10575.36,0,100,100,2867.99,10575.36,10575.36,27.12,100,100,10575.36,10575.36,10575.36,100,100,100
PH137401016,1/1/2022,9140.88,9140.88,9140.88,88.34,88.34,88.34,9140.88,9140.88,9140.88,88.34,88.34,88.34,9140.88,9140.88,9140.88,88.34,88.34,88.34
PH137401017,1/1/2022,46802.55,46802.55,46802.55,100,100,100,46802.55,46802.55,46802.55,100,100,100,46802.55,46802.55,46802.55,100,100,100
PH137401018,1/1/2022,2262.61,10269.45,10269.45,22.03,100,100,6461.88,10269.45,10269.45,62.92,100,100,10269.45,10269.45,10269.45,100,100,100
PH137401019,1/1/2022,592.26,13036.74,13036.74,4.26,93.76,93.76,13036.74,13036.74,13036.74,93.76,93.76,93.76,13036.74,13036.74,13036.74,93.76,93.76,93.76
PH137401020,1/1/2022,1221.01,11000.24,11000.24,10.51,94.72,94.72,11000.24,11000.24,11000.24,94.72,94.72,94.72,11000.24,11000.24,11000.24,94.72,94.72,94.72
PH137401021,1/1/2022,0,13788.94,13788.94,0,100,100,11367.66,13788.94,13788.94,82.44,100,100,13788.94,13788.94,13788.94,100,100,100
PH137401022,1/1/2022,20369.3,40395.09,40395.09,50.43,100,100,40395.09,40395.09,40395.09,100,100,100,40395.09,40395.09,40395.09,100,100,100
PH137401023,1/1/2022,6820.36,6820.36,6820.36,94.96,94.96,94.96,6820.36,6820.36,6820.36,94.96,94.96,94.96,6820.36,6820.36,6820.36,94.96,94.96,94.96
PH137401024,1/1/2022,0,12680.87,12680.87,0,100,100,12680.87,12680.87,12680.87,100,100,100,12680.87,12680.87,12680.87,100,100,100
PH137401025,1/1/2022,1754.87,3536.57,3536.57,46.55,93.81,93.81,3536.57,3536.57,3536.57,93.81,93.81,93.81,3536.57,3536.57,3536.57,93.81,93.81,93.81
PH137401026,1/1/2022,3645.22,8238.59,8238.59,39.81,89.98,89.98,7335.94,8238.59,8238.59,80.12,89.98,89.98,8238.59,8238.59,8238.59,89.98,89.98,89.98
PH137401027,1/1/2022,2472.39,15601.95,15601.95,15.85,100,100,4576.91,15601.95,15601.95,29.34,100,100,1812.92,15601.95,15601.95,11.62,100,100
PH137503001,1/1/2022,0,7695.86,7695.86,0,100,100,7695.86,7695.86,7695.86,100,100,100,7695.86,7695.86,7695.86,100,100,100
PH137503002,1/1/2022,2790.92,4546.55,4546.55,61.39,100,100,4546.55,4546.55,4546.55,100,100,100,4546.55,4546.55,4546.55,100,100,100
PH137503003,1/1/2022,0,2870.83,2870.83,0,80.58,80.58,2870.83,2870.83,2870.83,80.58,80.58,80.58,2870.83,2870.83,2870.83,80.58,80.58,80.58
PH137503004,1/1/2022,9906.49,10669.99,10669.99,85.92,92.54,92.54,1622.47,10669.99,10669.99,14.07,92.54,92.54,10669.99,10669.99,10669.99,92.54,92.54,92.54
PH137503005,1/1/2022,0,10924.16,11971.17,0,91.25,100,10924.16,11971.17,11971.17,91.25,100,100,11971.17,11971.17,11971.17,100,100,100
PH137503006,1/1/2022,0,2135.04,2135.04,0,100,100,2135.04,2135.04,2135.04,100,100,100,2135.04,2135.04,2135.04,100,100,100
PH137503007,1/1/2022,0,1783.85,1783.85,0,100,100,1783.85,1783.85,1783.85,100,100,100,1783.85,1783.85,1783.85,100,100,100
PH137503008,1/1/2022,11319.11,11461.58,11461.58,98.76,100,100,4150.52,11461.58,11461.58,36.21,100,100,11461.58,11461.58,11461.58,100,100,100
PH137503009,1/1/2022,71803.95,72193.12,72193.12,99.46,100,100,401.2,72193.12,72193.12,0.56,100,100,72193.12,72193.12,72193.12,100,100,100
PH137503010,1/1/2022,0,35084.39,35084.39,0,100,100,35084.39,35084.39,35084.39,100,100,100,35084.39,35084.39,35084.39,100,100,100
PH137503011,1/1/2022,3293.97,40754.58,40754.58,8.08,100,100,0,40754.58,40754.58,0,100,100,3293.97,40754.58,40754.58,8.08,100,100
PH137503012,1/1/2022,0,6931.67,16181.51,0,42.84,100,6931.67,16181.51,16181.51,42.84,100,100,16181.51,16181.51,16181.51,100,100,100
PH137503013,1/1/2022,0,0,34561.42,0,0,100,0,34561.42,34561.42,0,100,100,34561.42,34561.42,34561.42,100,100,100
PH137503014,1/1/2022,0,0,32860.26,0,0,97.32,0,6469.13,33584.8,0,19.16,99.47,27970.95,30807.97,33584.8,82.84,91.24,99.47
PH137603001,1/1/2022,24527.28,58215.74,58215.74,42.13,100,100,55227.03,58215.74,58215.74,94.87,100,100,55796.77,58215.74,58215.74,95.84,100,100
PH137603002,1/1/2022,0,27588.03,27588.03,0,94.46,94.46,21444.88,27588.03,27588.03,73.43,94.46,94.46,25844.01,27588.03,27588.03,88.49,94.46,94.46
PH137603003,1/1/2022,0,4389.38,6231.41,0,70.44,100,0,6231.41,6231.41,0,100,100,6051.18,6231.41,6231.41,97.11,100,100
PH137603004,1/1/2022,11532.81,60934.13,60934.13,18.93,100,100,20721.45,60934.13,60934.13,34.01,100,100,27213.47,60934.13,60934.13,44.66,100,100
PH137603005,1/1/2022,6057.81,87387.08,97439.73,6.22,89.68,100,52330.22,95692.46,97439.73,53.71,98.21,100,37613.11,97439.73,97439.73,38.6,100,100
PH137603006,1/1/2022,0,83131.97,88695.68,0,91.21,97.32,65298.44,88695.68,88695.68,71.65,97.32,97.32,64888.3,88695.68,88695.68,71.2,97.32,97.32
PH137603007,1/1/2022,0,20325.34,46238.71,0,43.96,100,0,46238.71,46238.71,0,100,100,22354.52,46238.71,46238.71,48.35,100,100
PH137603008,1/1/2022,8606.97,27000.9,56619.69,15.2,47.69,100,43244.83,56619.69,56619.69,76.38,100,100,49121.08,56619.69,56619.69,86.76,100,100
PH137603009,1/1/2022,3615.78,32617.56,32617.56,11.09,100,100,7136.59,32617.56,32617.56,21.88,100,100,244.29,32617.56,32617.56,0.75,100,100
